Taille de la sequence,Nbr de batch,nombre epoch,Pourcentage du dataset,nombre de neurones,Dropout,batch Normalization,epoch,minMSE,Numero de photo
16,32,20,1,20,0,0,17,44827.609375,1
16,32,100,1,20,0,1,27,44290.59765625,2
16,32,20,1,20,1,0,13,42573.31640625,3
16,32,100,1,20,1,1,42,42944.87109375 ,4
16,32,20,1,100,0,0,8,42927.71875,5
16,32,20,1,100,0,1,15,47274.40625,6
16,32,20,1,100,1,0,12,43183.86328125,7
16,32,20,1,100,1,1,9,50033.05078125,8
16,32,20,10,20,0,0,16,38133.5703125,9
16,32,20,10,20,0,1,14,44072.8046875,10
16,32,20,10,20,1,0,7,43057.47265625,11
16,32,20,10,20,1,1,16,41599.72265625,12
16,32,20,10,100,0,0,19,37595.12109375,13
16,32,20,10,100,0,1,7,51067.93359375,14
16,32,20,10,100,1,0,7,39991.2109375,15
16,32,20,10,100,1,1,15,48222.46875,16
16,32,20,100,20,0,0,19,30725.166015625,17
16,32,20,100,20,0,1,6,33158.32421875,18
16,32,20,100,20,1,0,10,31703.666015625,19
16,32,20,100,20,1,1,7,35613.33203125,20
16,32,20,100,100,0,0,11,30408.84765625,21
16,32,20,100,100,0,1,13,35730.62109375,22
16,32,20,100,100,1,0,7,31885.578125,23
16,32,20,100,100,1,1,6,45209.17578125,24
